ego_start_x,ego_start_speed,target_start_x,target_start_speed,target_decel,target_decel_trigger
23.0,5.0,245.0,15.0,-2.5,15.0
59.0,40.0,50.0,85.0,-6.0,19.0
127.0,0.0,240.0,10.0,-6.5,1.0
35.0,80.0,270.0,40.0,-2.0,6.0
163.0,60.0,50.0,10.0,-1.0,18.0
93.0,105.0,35.0,30.0,-5.0,14.0
81.0,145.0,55.0,25.0,-1.0,9.0
175.0,140.0,205.0,5.0,-2.5,39.0
67.0,45.0,165.0,65.0,-6.0,34.0
45.0,35.0,45.0,30.0,-3.0,24.0
185.0,120.0,65.0,25.0,-3.5,3.0
173.0,100.0,105.0,55.0,-5.5,11.0
153.0,15.0,250.0,60.0,-3.0,34.0
141.0,35.0,225.0,40.0,-7.0,37.0
181.0,130.0,95.0,95.0,-7.0,32.0
177.0,55.0,90.0,80.0,-5.0,10.0
95.0,45.0,220.0,40.0,-1.0,14.0
29.0,35.0,205.0,35.0,-1.5,3.0
111.0,35.0,120.0,75.0,-3.0,28.0
143.0,115.0,95.0,40.0,-2.5,10.0
197.0,45.0,160.0,35.0,-7.0,7.0
69.0,15.0,225.0,20.0,-1.5,25.0
21.0,20.0,275.0,65.0,-5.5,38.0
189.0,105.0,165.0,0.0,-6.0,5.0
83.0,75.0,285.0,70.0,-5.0,16.0
15.0,25.0,280.0,90.0,-4.5,17.0
25.0,5.0,155.0,45.0,-1.0,34.0
197.0,135.0,295.0,15.0,-2.0,30.0
185.0,115.0,200.0,40.0,-2.0,34.0
151.0,0.0,175.0,35.0,-4.0,33.0
121.0,95.0,125.0,75.0,-5.5,5.0
9.0,65.0,255.0,70.0,-5.0,38.0
121.0,125.0,80.0,60.0,-4.5,3.0
103.0,0.0,210.0,85.0,-1.0,40.0
193.0,145.0,200.0,95.0,-6.0,7.0
115.0,80.0,285.0,55.0,-5.0,22.0
91.0,75.0,50.0,80.0,-5.0,39.0
49.0,115.0,65.0,85.0,-6.0,38.0
165.0,75.0,165.0,75.0,-2.5,38.0
17.0,50.0,155.0,70.0,-7.5,3.0
21.0,40.0,105.0,95.0,-7.5,9.0
165.0,10.0,290.0,95.0,-8.0,15.0
171.0,50.0,190.0,10.0,-6.0,2.0
139.0,10.0,220.0,50.0,-0.5,36.0
55.0,140.0,80.0,60.0,-3.5,22.0
167.0,25.0,100.0,90.0,-4.5,30.0
163.0,140.0,155.0,50.0,-6.0,18.0
7.0,25.0,250.0,55.0,-3.5,33.0
117.0,125.0,190.0,15.0,-6.5,10.0
97.0,5.0,240.0,65.0,0.0,17.0
141.0,85.0,60.0,90.0,-6.0,34.0
175.0,80.0,130.0,90.0,-5.5,6.0
121.0,15.0,100.0,60.0,-3.5,23.0
123.0,55.0,70.0,75.0,-7.0,21.0
51.0,35.0,30.0,20.0,-6.0,12.0
25.0,45.0,40.0,45.0,-1.5,9.0
53.0,35.0,60.0,35.0,-3.5,35.0
105.0,20.0,215.0,85.0,-3.0,16.0
43.0,65.0,60.0,35.0,-4.5,11.0
47.0,20.0,135.0,85.0,-0.5,34.0
185.0,25.0,245.0,50.0,-3.0,27.0
191.0,120.0,60.0,80.0,-5.5,28.0
55.0,25.0,280.0,50.0,-4.0,37.0
191.0,120.0,195.0,20.0,-4.5,32.0
187.0,60.0,145.0,40.0,-3.5,23.0
71.0,70.0,110.0,80.0,-4.5,28.0
7.0,50.0,55.0,75.0,-3.5,8.0
119.0,45.0,185.0,80.0,-4.5,25.0
195.0,140.0,40.0,60.0,-4.0,2.0
113.0,130.0,85.0,20.0,-6.0,13.0
5.0,30.0,285.0,35.0,-1.5,5.0
173.0,55.0,145.0,0.0,-7.0,15.0
109.0,95.0,35.0,60.0,-1.5,15.0
9.0,30.0,210.0,75.0,-1.0,37.0
41.0,5.0,95.0,50.0,-6.5,13.0
67.0,45.0,210.0,85.0,-8.0,5.0
173.0,5.0,110.0,15.0,-1.5,18.0
5.0,150.0,30.0,80.0,-4.5,1.0
5.0,40.0,50.0,70.0,-6.5,20.0
155.0,105.0,165.0,65.0,-1.0,31.0
175.0,15.0,240.0,5.0,-2.5,9.0
101.0,55.0,160.0,65.0,-6.5,21.0
57.0,115.0,55.0,55.0,-6.0,36.0
17.0,70.0,275.0,35.0,-5.5,39.0
147.0,90.0,150.0,95.0,-2.0,1.0
187.0,70.0,70.0,30.0,-5.0,19.0
65.0,20.0,65.0,50.0,0.0,27.0
29.0,65.0,285.0,65.0,-4.5,31.0
181.0,105.0,220.0,100.0,-2.0,14.0
121.0,90.0,275.0,90.0,-0.5,4.0
131.0,100.0,115.0,25.0,-2.5,3.0
107.0,65.0,180.0,55.0,-3.0,26.0
155.0,80.0,120.0,25.0,-5.5,16.0
61.0,55.0,45.0,55.0,-1.0,16.0
179.0,15.0,185.0,0.0,-2.5,23.0
85.0,70.0,90.0,40.0,-6.5,36.0
153.0,65.0,65.0,45.0,-0.5,25.0
117.0,110.0,125.0,75.0,-5.0,28.0
69.0,140.0,120.0,55.0,-1.0,5.0
153.0,100.0,75.0,85.0,0.0,24.0
157.0,115.0,50.0,50.0,-8.0,15.0
79.0,35.0,255.0,75.0,-2.5,34.0
169.0,30.0,200.0,55.0,-3.0,11.0
131.0,35.0,55.0,5.0,-7.5,29.0
155.0,30.0,230.0,25.0,-7.0,15.0
77.0,20.0,75.0,10.0,-7.5,23.0
3.0,25.0,290.0,100.0,0.0,30.0
51.0,10.0,180.0,70.0,-3.0,2.0
67.0,125.0,115.0,25.0,-2.0,21.0
107.0,75.0,240.0,60.0,-4.0,20.0
145.0,45.0,140.0,20.0,-7.5,39.0
171.0,0.0,65.0,5.0,0.0,30.0
119.0,75.0,125.0,30.0,-6.5,24.0
147.0,45.0,120.0,45.0,-0.5,15.0
19.0,30.0,110.0,20.0,-5.0,26.0
139.0,85.0,140.0,100.0,-8.0,12.0
153.0,145.0,60.0,75.0,-6.5,20.0
13.0,10.0,280.0,80.0,-6.5,18.0
33.0,140.0,90.0,15.0,-6.0,28.0
157.0,70.0,135.0,90.0,0.0,18.0
19.0,50.0,75.0,85.0,-3.5,26.0
47.0,25.0,190.0,75.0,-4.5,12.0
23.0,110.0,35.0,90.0,-2.5,2.0
131.0,0.0,45.0,30.0,-2.5,25.0
109.0,35.0,75.0,70.0,-1.0,1.0
79.0,55.0,115.0,80.0,-3.0,6.0
185.0,150.0,145.0,15.0,-4.5,6.0
55.0,50.0,270.0,90.0,-5.0,18.0
21.0,40.0,270.0,80.0,-2.5,21.0
101.0,145.0,110.0,60.0,-4.0,30.0
59.0,120.0,75.0,15.0,-3.5,8.0
135.0,120.0,155.0,65.0,-4.5,5.0
87.0,10.0,210.0,75.0,-5.5,12.0
15.0,25.0,90.0,20.0,-1.0,31.0
83.0,15.0,175.0,70.0,-6.0,13.0
195.0,150.0,80.0,50.0,-4.5,33.0
149.0,145.0,175.0,70.0,-5.0,36.0
181.0,40.0,240.0,35.0,-8.0,18.0
95.0,40.0,160.0,80.0,-0.5,37.0
19.0,75.0,140.0,75.0,-4.0,8.0
99.0,80.0,295.0,60.0,-7.0,19.0
169.0,135.0,120.0,80.0,-5.0,13.0
17.0,70.0,290.0,100.0,-7.5,11.0
61.0,15.0,115.0,55.0,-5.0,29.0
89.0,90.0,110.0,15.0,-4.5,20.0
171.0,135.0,40.0,80.0,-8.0,9.0
109.0,20.0,275.0,85.0,-6.5,11.0
3.0,15.0,100.0,45.0,-4.5,30.0
159.0,65.0,50.0,50.0,-7.5,19.0
17.0,70.0,90.0,85.0,-1.0,11.0
127.0,65.0,140.0,95.0,-8.0,1.0
191.0,105.0,205.0,15.0,-2.0,22.0
73.0,20.0,110.0,25.0,-7.0,32.0
153.0,105.0,105.0,25.0,-4.0,39.0
165.0,20.0,115.0,65.0,-5.5,35.0
157.0,100.0,55.0,10.0,-6.5,24.0
69.0,10.0,225.0,90.0,0.0,39.0
99.0,70.0,45.0,45.0,-7.0,29.0
51.0,20.0,115.0,45.0,-7.0,15.0
181.0,135.0,135.0,75.0,-1.5,17.0
95.0,45.0,105.0,95.0,-4.0,1.0
11.0,50.0,30.0,60.0,-1.0,5.0
19.0,40.0,135.0,90.0,-7.0,23.0
91.0,80.0,265.0,100.0,-0.5,13.0
165.0,150.0,260.0,5.0,-3.0,26.0
145.0,75.0,70.0,65.0,-5.5,4.0
133.0,145.0,165.0,10.0,-5.0,35.0
187.0,120.0,125.0,50.0,-1.5,21.0
125.0,95.0,280.0,80.0,-2.0,39.0
149.0,15.0,185.0,95.0,-6.0,36.0
85.0,15.0,170.0,5.0,-5.0,16.0
183.0,110.0,190.0,80.0,-4.5,34.0
133.0,15.0,270.0,95.0,-5.0,24.0
35.0,90.0,155.0,80.0,-5.5,31.0
163.0,50.0,225.0,45.0,-7.5,8.0
107.0,125.0,40.0,50.0,-7.5,9.0
97.0,125.0,95.0,15.0,-5.5,34.0
69.0,80.0,85.0,35.0,-1.0,6.0
51.0,25.0,180.0,90.0,-4.0,25.0
27.0,135.0,65.0,5.0,-5.5,8.0
17.0,20.0,125.0,25.0,-5.5,13.0
199.0,90.0,210.0,25.0,-3.5,6.0
43.0,30.0,230.0,15.0,-5.0,21.0
195.0,90.0,100.0,85.0,-5.5,22.0
19.0,25.0,195.0,65.0,-0.5,22.0
161.0,115.0,35.0,30.0,-2.0,34.0
191.0,20.0,295.0,35.0,-4.5,22.0
81.0,25.0,30.0,5.0,-4.5,18.0
79.0,65.0,285.0,75.0,0.0,34.0
25.0,70.0,150.0,75.0,-3.5,39.0
163.0,60.0,70.0,35.0,-3.0,23.0
121.0,50.0,210.0,90.0,-8.0,32.0
95.0,70.0,220.0,100.0,0.0,27.0
3.0,5.0,155.0,70.0,-2.5,3.0
27.0,115.0,95.0,15.0,-1.0,6.0
153.0,15.0,120.0,15.0,-2.5,36.0
113.0,15.0,145.0,25.0,-6.5,17.0
101.0,130.0,65.0,50.0,-1.0,22.0
25.0,80.0,160.0,100.0,-7.0,38.0
177.0,140.0,95.0,40.0,-1.0,4.0
55.0,70.0,125.0,70.0,-4.0,20.0
145.0,75.0,180.0,5.0,0.0,35.0
139.0,75.0,195.0,100.0,-7.5,6.0
53.0,65.0,175.0,90.0,-6.5,7.0
21.0,50.0,270.0,60.0,-4.0,4.0
89.0,65.0,70.0,90.0,-4.5,31.0
175.0,145.0,190.0,85.0,-1.0,24.0
185.0,135.0,30.0,30.0,-7.0,2.0
183.0,110.0,200.0,20.0,-3.5,4.0
17.0,0.0,35.0,90.0,-2.5,36.0
183.0,15.0,280.0,0.0,-1.0,34.0
3.0,95.0,35.0,45.0,-2.5,4.0
161.0,75.0,120.0,70.0,-5.5,37.0
51.0,75.0,210.0,50.0,-8.0,17.0
67.0,110.0,45.0,10.0,-0.5,8.0
57.0,95.0,75.0,20.0,-0.5,15.0
147.0,120.0,90.0,35.0,-4.5,8.0
157.0,20.0,80.0,15.0,-7.5,35.0
7.0,30.0,260.0,15.0,-2.0,1.0
183.0,25.0,215.0,25.0,-5.0,20.0
127.0,125.0,155.0,80.0,-2.5,5.0
115.0,110.0,115.0,70.0,-8.0,18.0
83.0,0.0,145.0,40.0,-8.0,30.0
83.0,35.0,165.0,80.0,-6.5,17.0
97.0,75.0,40.0,55.0,-4.5,9.0
191.0,40.0,150.0,70.0,-2.0,26.0
199.0,130.0,200.0,85.0,-1.0,6.0
79.0,35.0,255.0,85.0,-1.5,26.0
199.0,5.0,60.0,55.0,-5.0,21.0
127.0,65.0,275.0,40.0,-1.5,3.0
65.0,140.0,145.0,15.0,-5.0,2.0
13.0,60.0,195.0,100.0,0.0,0.0
59.0,30.0,245.0,10.0,-5.5,27.0
85.0,10.0,175.0,0.0,-8.0,23.0
57.0,50.0,270.0,65.0,-2.5,13.0
125.0,20.0,130.0,50.0,-1.0,6.0
7.0,10.0,145.0,60.0,-1.5,5.0
167.0,60.0,95.0,70.0,-1.5,17.0
193.0,110.0,215.0,20.0,-2.0,30.0
125.0,65.0,70.0,60.0,-1.0,13.0
129.0,10.0,215.0,10.0,-2.5,40.0
143.0,100.0,105.0,90.0,-7.5,33.0
107.0,55.0,65.0,80.0,-5.5,30.0
113.0,135.0,55.0,5.0,-6.5,23.0
123.0,30.0,150.0,80.0,-7.0,38.0
161.0,50.0,85.0,40.0,-1.5,36.0
5.0,30.0,240.0,40.0,-1.5,39.0
85.0,30.0,100.0,40.0,-5.5,38.0
33.0,95.0,245.0,70.0,-1.0,21.0
105.0,50.0,150.0,55.0,-5.0,7.0
49.0,40.0,50.0,50.0,-0.5,19.0
91.0,10.0,210.0,85.0,-1.5,22.0
63.0,30.0,125.0,75.0,-3.5,11.0
39.0,60.0,45.0,40.0,-3.0,4.0
27.0,10.0,40.0,100.0,-7.5,21.0
151.0,15.0,250.0,0.0,-5.5,27.0
45.0,135.0,285.0,95.0,-4.0,39.0
81.0,85.0,55.0,100.0,-1.0,23.0
169.0,70.0,170.0,25.0,-5.5,32.0
35.0,10.0,125.0,50.0,-6.5,36.0
173.0,30.0,35.0,40.0,-3.5,10.0
119.0,140.0,130.0,0.0,-4.5,24.0
91.0,55.0,255.0,90.0,-7.0,37.0
45.0,45.0,170.0,50.0,-7.0,31.0
57.0,5.0,50.0,60.0,-1.0,15.0
167.0,115.0,150.0,35.0,-3.0,4.0
155.0,140.0,120.0,85.0,-7.5,12.0
65.0,80.0,40.0,60.0,-2.0,17.0
101.0,100.0,130.0,20.0,0.0,38.0
191.0,135.0,60.0,60.0,-2.0,31.0
145.0,40.0,120.0,5.0,-5.0,26.0
101.0,115.0,150.0,10.0,-2.0,31.0
163.0,30.0,60.0,60.0,-7.0,6.0
165.0,30.0,125.0,55.0,-4.5,37.0
35.0,45.0,190.0,40.0,-7.0,29.0
85.0,35.0,230.0,70.0,-5.0,40.0
77.0,120.0,30.0,15.0,-4.0,21.0
115.0,65.0,140.0,75.0,-2.5,20.0
197.0,35.0,195.0,25.0,-6.0,19.0
103.0,140.0,175.0,15.0,0.0,14.0
131.0,120.0,210.0,20.0,-5.5,9.0
77.0,60.0,280.0,50.0,-6.0,13.0
93.0,55.0,30.0,5.0,-3.5,30.0
63.0,130.0,90.0,5.0,-0.5,24.0
179.0,20.0,240.0,25.0,-6.0,10.0
93.0,40.0,240.0,20.0,-3.5,35.0
33.0,70.0,185.0,70.0,-6.5,21.0
169.0,85.0,35.0,95.0,-8.0,14.0
165.0,5.0,190.0,55.0,-1.0,33.0
85.0,95.0,235.0,90.0,-6.5,17.0
135.0,135.0,100.0,30.0,-3.0,28.0
113.0,75.0,260.0,70.0,-4.5,36.0
47.0,60.0,60.0,35.0,-4.5,29.0
163.0,105.0,75.0,55.0,0.0,7.0
67.0,15.0,105.0,55.0,-1.0,38.0
67.0,140.0,100.0,85.0,-1.0,23.0
127.0,135.0,80.0,55.0,-1.5,12.0
61.0,5.0,190.0,95.0,-6.0,10.0
173.0,5.0,135.0,35.0,-4.5,24.0
139.0,50.0,80.0,45.0,-4.0,20.0
151.0,15.0,255.0,30.0,-8.0,11.0
43.0,85.0,165.0,95.0,-3.5,38.0
37.0,125.0,130.0,10.0,-7.5,6.0
