ego_start_x,ego_speed,target_start_x,target_speed,target_decel,target_decel_trigger,collision_occurred,impact_speed,aeb_triggered,speed_reduction
117.0,55.0,190.0,30.0,-3.0,0.0,False,0.0,True,34.2
145.0,55.0,250.0,35.0,-1.0,29.0,False,0.0,True,55.0
29.0,25.0,70.0,0.0,-3.0,29.0,False,0.0,True,25.0
13.0,55.0,90.0,15.0,-4.5,1.0,False,0.0,True,55.0
7.0,145.0,250.0,85.0,-3.5,0.0,True,15.9,True,44.1
57.0,70.0,105.0,30.0,0.0,11.0,False,0.0,True,47.34
195.0,105.0,275.0,80.0,0.0,8.0,False,0.0,True,34.2
3.0,45.0,135.0,15.0,-1.0,10.0,False,0.0,True,45.0
21.0,120.0,95.0,75.0,-1.0,29.0,True,12.6,True,42.12
57.0,110.0,120.0,75.0,-3.0,2.0,True,5.3,True,72.9
107.0,35.0,210.0,5.0,-2.0,2.0,False,0.0,True,35.0
53.0,120.0,130.0,65.0,-0.5,20.0,True,16.12,True,42.12
171.0,30.0,280.0,0.0,-4.5,23.0,False,0.0,True,30.0
195.0,90.0,255.0,70.0,-3.0,2.0,True,4.16,True,42.84
79.0,25.0,125.0,0.0,-1.0,14.0,False,0.0,True,25.0
33.0,35.0,70.0,20.0,-4.0,39.0,False,0.0,True,35.0
5.0,55.0,125.0,25.0,-1.5,3.0,False,0.0,True,55.0
21.0,55.0,90.0,0.0,-4.5,36.0,False,0.0,True,55.0
145.0,130.0,275.0,85.0,-4.0,0.0,False,0.0,True,53.46
89.0,140.0,275.0,85.0,-4.0,3.0,True,18.1,True,44.1
171.0,55.0,180.0,50.0,-1.5,33.0,False,0.0,True,55.0
39.0,35.0,190.0,5.0,-3.5,22.0,False,0.0,True,35.0
123.0,80.0,195.0,30.0,-2.5,2.0,True,8.24,True,46.26
167.0,40.0,275.0,0.0,-1.5,15.0,False,0.0,True,40.0
111.0,30.0,230.0,0.0,-4.5,19.0,False,0.0,True,30.0
161.0,90.0,180.0,70.0,-4.0,4.0,True,4.34,True,54.54
29.0,100.0,85.0,55.0,-3.0,4.0,True,10.44,True,43.2
